,words,category,SA Average,Total Turns,Message Frequency Sim 0,Message Frequency Sim 1,Message Frequency Sim 2,Message Frequency Sim 3,Sentiment Negative,Sentiment Neutral,Sentiment Positive,Sentiment Compound,NN,VB,CC,JJ,VBG,RB,VBD,VBN,JJS,VBP,IN,NNS,JJR,CD,MD,UH,WP,WRB,FW,DT,RBR,VBZ,TO,PRP,WDT,NNP,RP,RBS
25-2,fire hello cant find either dont know one came yes either must sneaky little fire dont really know must kind marker yea si fire wa ridiculous yes early yes fire truck cover area since water sound good truck go north thought four alright unless one two spot assume going last game fire spread fast go outer edge first guess good luck guy oh still min let wa thinking thing actually trying use switch yea really fast one truck go north last game fire spread fast go outer edge first,2,11.571428571428571,30.0,0.01652892561983471,0.009538950715421303,0.010327022375215147,0.026905829596412557,0.09021875000000001,0.76025,0.14953124999999998,-0.011853125000000006,1.0666666666666667,0.13333333333333333,0.03333333333333333,0.4,0.1,0.5666666666666667,0.03333333333333333,0.0,0.0,0.23333333333333334,0.1,0.03333333333333333,0.0,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345-2,take bottom right help middle right take top left tree top center help thought pretty good bear would helicopter faster use tree truck house wind try cut fire take top left center map two truck battle big fire try put new fire let main goal stop new fire get big burn baby burn clue truck need sound right click select two right click hold make box take bottom right help middle right take top left use tree truck house take top left let main goal stop new fire right click select two right click hold make box,2,11.742914979757085,19.0,0.01152073732718894,0.08064516129032258,0.009708737864077669,0.010101010101010102,0.04003846153846154,0.7778846153846153,0.18207692307692308,0.07222307692307692,2.1578947368421053,0.631578947368421,0.0,1.1578947368421053,0.0,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.0,0.3157894736842105,0.05263157894736842,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-3,stealing fire thank best game ever five second forest going burn good job guy guess go red fire truck pink one jealous cheater probably going get middle yeah yeah whatever ever section kind boring cry wan na bet twenty buck cent one minute left nan never really information guy would say fire wa fire mine sort huge break problem take top right maybe middle middle right middle right house k middle right house right person ha top right take top left mean instead cover top right cover top left take care middle top right clarify right right middle sound good cheating wa crazy help top right min fire top good idea genius brilliant bottom left burning poor good question grab another fire truck think let five minute left game impossible beat worry like two minute left ha ha watch u wrong still time play stealing fire middle right house middle right house person ha top right take top left mean instead cover top right cover top left take care middle top grab another fire truck,2,11.747368421052633,69.0,0.012024048096192385,0.007308160779537149,0.010067114093959731,0.007042253521126761,0.0985921052631579,0.6763947368421053,0.2118552631578947,0.09240657894736842,1.0579710144927537,0.10144927536231885,0.0,0.6376811594202898,0.07246376811594203,0.2028985507246377,0.15942028985507245,0.0,0.0,0.10144927536231885,0.014492753623188406,0.0,0.0,0.07246376811594203,0.014492753623188406,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.014492753623188406,0.0,0.014492753623188406,0.0,0.028985507246376812,0.014492753623188406
11-3,take lower right minute right agreed truck stay top near water tower forest burn faster anything poor people dont live slogan prevent wildfire something thought fine talk building forest feel like significantly helicopter afraid move around slow nice break oh wait still minute nothing since truck go upper right corner water tower think computer animated second dont love come bottom left left town flame like able cook lab favorite show way minute left right afraid move around slow favorite show way,2,11.814285714285715,28.0,0.0136986301369863,0.007434944237918215,0.007434944237918215,0.005509641873278237,0.04203333333333334,0.7420999999999999,0.21586666666666662,0.14719333333333331,1.3214285714285714,0.07142857142857142,0.0,0.6428571428571429,0.0,0.17857142857142858,0.21428571428571427,0.0,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
341-1,going assign little quadrant forest bottom left leaf ha top forest village ill back top forest village left upper right portion big forest mean middle portion big forest get fuel swap vehicle wa really hard question well think enough wa way harder tried divide know tried stay left side bottom think good helicopter fire truck instead think helicopter fire truck bottom half pair top fire huge two fire truck one helicopter thought fire engine helicopter fire engine hold water fire break two ca control another fire truck come rescue helicopter stay back case know helicopter doe hardly anything huge fire get dont last helicopter bottom half whoever bottom half tell going dont understand double everything suck next time leave forest behind save people better extinguish rather lost forest child little helicopter terrible leaf ha top forest village ill back top forest village left upper right portion big forest tried divide know tried stay left side bottom think good helicopter fire truck instead think helicopter fire truck bottom half pair top fire huge two fire truck one helicopter thought fire engine helicopter fire engine hold water fire break two ca control another fire truck come rescue helicopter stay back case helicopter bottom half,2,11.834008097165992,20.0,-0.0,-0.0,-0.0,-0.0,0.12015384615384614,0.7954615384615384,0.08453846153846153,-0.0647423076923077,4.15,0.35,0.0,2.35,0.1,0.65,0.5,0.3,0.15,0.7,0.05,0.05,0.1,0.3,0.1,0.0,0.05,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-1,great able see movement player hello seeing couple upper screen whoop forgot wait bit distinguish oh house way let hope want split top left ah seeing top right stay near water tower tough one yeah get spreading wonder fire engine move differently alrighty guy think anyone catch performance last time yeah think wa organization though wa watching wind time look like one u fire engine yeah one look like look like take charge four vehicle person oh like fire start forest often house ah got assigned vehicle let try one sure thinking one person tower one engine one good return water tower time go top right mean left type see fire type time number area able type area quick confusion look like starting shoot four time top middle bottom left bottom top left able zoom stuck right bottom nice middle south bottom left doe bar indicate oh one wind meter bottom left middle top bar trying see move ah thank bottom done thinking one person tower good return water tower time go top right type see fire type time confusion look like starting bar trying see move,2,11.843283582089553,61.0,-0.0,-0.0,-0.0,-0.0,0.04425373134328358,0.7494925373134329,0.20623880597014926,0.1362686567164179,1.3770491803278688,0.09836065573770492,0.0,0.639344262295082,0.16393442622950818,0.04918032786885246,0.16393442622950818,0.01639344262295082,0.01639344262295082,0.09836065573770492,0.18032786885245902,0.04918032786885246,0.03278688524590164,0.18032786885245902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-4,fire northern middle section stick left screen vehicle sound good anyone see anything pretty sure village top second guy got got town left right let know problem area elsewhere map like forest supposed help east bear damn job well keep cause make nervous basically wind fire forever alone think pretty organized always section chill emergency need jump fire edge hit town save building sweet say everything important edge forest first priority even hit town feel like run water quickly feel like time anyone team play regularly fun minute kill yep tried stomp really got wind pick screwed think starting point lower left corner forest huge town land running around got pretty try alert fire priority lower left ready engage good make one building end lost mean anybody else cool fighting music going head trying actually give away fire house guess spoke soon also accidentally could find guy right dude lab went fault ca nice thing minute kill,2,11.901315789473685,37.0,0.01263157894736842,0.007228915662650603,0.011278195488721804,0.008928571428571428,0.15984210526315792,0.6568947368421052,0.18323684210526314,0.06961842105263162,1.6216216216216217,0.21621621621621623,0.0,0.6756756756756757,0.16216216216216217,0.4864864864864865,0.43243243243243246,0.05405405405405406,0.08108108108108109,0.1891891891891892,0.08108108108108109,0.02702702702702703,0.0,0.02702702702702703,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0
431-4,maybe start believe professional success mean task set best ability condition professional success trustworthy team member within group suggestion improve success exactly think take southwest everyone major game start take southwest,2,11.909090909090908,10.0,-0.0,0.0,0.0,-0.0,0.016181818181818183,0.7529090909090909,0.23090909090909092,0.34396363636363636,1.3,0.4,0.0,0.5,0.0,0.2,0.0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439-4,keep eye town fire town bottom hit yet may next engine helicopter cover top half two cover lower lot territory cover also scroll around map see fire move much guess little break well fire start top right top left professional success reaching goal set able provide best job ha nothing game take mind game like ten would call professionally successful fill blank two condition professional success job enjoy good benefit making decent salary striving move field like job want work hard obviously going successful improve working harder efficiently trying enjoy work instead find better job p think pretty much cover everything anything left good go split way last time try something new top thats house right let keep close eye kind burnt already would imagine town hate u p serious trouble saved people,2,11.95,30.0,0.015706806282722512,0.0048543689320388345,0.005917159763313609,0.003676470588235294,0.0493,0.7188999999999999,0.2318333333333333,0.2102366666666667,1.6,0.3333333333333333,0.0,0.9666666666666667,0.2,0.5,0.1,0.06666666666666667,0.03333333333333333,0.2,0.06666666666666667,0.1,0.06666666666666667,0.06666666666666667,0.1,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-2,look top half big forest area look top half big forest area need constantly looking around arrow key major fire point think handle get yes last game chopper water capacity also even major fire helping still need looking possible exactly last game saw sorry wild fire agreed minute till game start nice look top half big forest area,2,11.971428571428572,13.0,0.0,0.0,0.0021929824561403508,0.006172839506172839,0.08385714285714285,0.7142857142857142,0.20185714285714287,0.09552857142857142,1.6923076923076923,0.15384615384615385,0.0,1.3076923076923077,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
